taskId,assetId,assetType,department,corridorId,defectSeverity,assetCriticality,historicalFailures,overdueDays,trainTraffic,safetyRisk,expectedDegradation,assetAgeYears,priorityScore,failureRisk,riskLevel,recommendedDeadline,status,estimatedDurationMinutes
MT-00192,AST-0270,Signal,S&T,COR-008,4.5,10,1,28,69,6.2,0.16,8.4,63,0.628,Medium,2026-09-17,pending,210
MT-00193,AST-0342,Signal,S&T,COR-004,2.8,9,1,2,48,4.7,0.0,8.2,33,0.333,Low,2026-09-23,pending,60
MT-00194,AST-0002,Track,Engineering,COR-005,4.9,9,2,3,100,7.6,0.449,10.1,60,0.601,Medium,2026-09-22,pending,240
MT-00195,AST-0288,OHE,Traction Distribution,COR-006,5.1,7,2,4,73,4.8,0.412,3.7,48,0.485,Low,2026-09-21,pending,120
MT-00196,AST-0209,Track,Engineering,COR-010,2.9,8,0,4,20,5.1,0.0,0.9,42,0.422,Low,2026-09-15,completed,30
MT-00197,AST-0561,Signal,S&T,COR-009,6.9,8,0,25,26,5.3,0.083,8.5,64,0.643,Medium,2026-09-20,pending,75
MT-00198,AST-0666,OHE,Traction Distribution,COR-002,5.2,6,0,5,26,5.1,0.266,9.6,38,0.383,Low,2026-10-05,pending,210
MT-00199,AST-0498,OHE,Traction Distribution,COR-006,6.8,8,3,4,73,5.6,0.742,32.8,67,0.67,High,2026-09-06,overdue,75
MT-00200,AST-0162,Signal,S&T,COR-005,5.1,10,1,2,100,5.9,0.143,5.5,62,0.618,Medium,2026-09-15,completed,225
MT-00201,AST-0256,Signal,S&T,COR-010,5.4,8,0,3,20,6.1,0.0,7.5,38,0.377,Low,2026-09-24,pending,90
MT-00202,AST-0339,Track,Engineering,COR-007,5.2,8,1,1,45,7.1,0.342,14.4,50,0.498,Low,2026-09-19,pending,120
MT-00203,AST-0577,Track,Engineering,COR-008,7.1,8,3,3,69,7.3,0.372,7.3,62,0.623,Medium,2026-09-20,completed,120
MT-00204,AST-0462,Station Equipment,S&T,COR-004,2.8,5,0,3,48,4.1,0.186,14.4,36,0.356,Low,2026-10-07,completed,210
MT-00205,AST-0267,Bridge,Engineering,COR-007,7.4,10,3,24,45,7.8,0.259,10.7,64,0.644,Medium,2026-09-12,overdue,240
MT-00206,AST-0437,Signal,S&T,COR-004,5.9,10,2,44,48,7.0,0.385,15.5,72,0.721,High,2026-09-07,pending,180
MT-00207,AST-0507,Bridge,Engineering,COR-008,5.6,10,3,14,69,8.0,0.375,0.8,74,0.742,High,2026-09-08,completed,210
MT-00208,AST-0540,Track,Engineering,COR-002,2.9,7,0,3,26,4.1,0.0,1.5,42,0.416,Low,2026-09-13,pending,75
MT-00209,AST-0157,Bridge,Engineering,COR-001,3.5,10,3,12,45,7.2,0.295,7.6,56,0.563,Medium,2026-09-13,pending,210
MT-00210,AST-0009,Station Equipment,S&T,COR-002,2.4,5,1,0,26,4.7,0.271,1.2,27,0.27,Low,2026-09-30,completed,120
MT-00211,AST-0760,Station Equipment,S&T,COR-008,6.9,6,1,2,69,4.9,0.752,40.0,55,0.548,Medium,2026-09-18,completed,180
MT-00212,AST-0482,Station Equipment,S&T,COR-004,6.3,5,3,1,48,4.3,0.324,15.8,44,0.439,Low,2026-09-12,pending,60
MT-00213,AST-0613,OHE,Traction Distribution,COR-010,2.5,6,0,2,20,3.5,0.081,5.0,29,0.295,Low,2026-10-16,pending,105
MT-00214,AST-0429,Track,Engineering,COR-005,2.5,9,0,3,100,4.0,0.187,6.8,52,0.523,Low,2026-09-17,completed,195
MT-00215,AST-0767,OHE,Traction Distribution,COR-010,4.4,6,1,3,20,4.3,0.347,16.8,33,0.331,Low,2026-09-27,pending,45
MT-00216,AST-0299,Track,Engineering,COR-007,4.2,9,0,1,45,7.5,0.211,6.5,51,0.511,Low,2026-09-12,pending,165
MT-00217,AST-0349,Signal,S&T,COR-003,6.3,9,3,8,32,6.0,0.562,37.5,57,0.568,Medium,2026-09-22,pending,210
MT-00218,AST-0520,Track,Engineering,COR-008,5.0,9,1,1,69,7.8,0.116,16.0,53,0.529,Low,2026-09-18,pending,225
MT-00219,AST-0754,Signal,S&T,COR-010,7.0,9,2,0,20,6.9,0.273,17.3,59,0.591,Medium,2026-09-21,completed,150
MT-00220,AST-0144,Track,Engineering,COR-003,6.6,8,0,2,32,8.8,0.146,5.8,46,0.46,Low,2026-09-20,pending,90
MT-00221,AST-0641,Track,Engineering,COR-004,9.7,7,2,2,48,6.7,0.541,36.5,60,0.6,Medium,2026-09-22,in_progress,105
MT-00222,AST-0211,Bridge,Engineering,COR-004,3.0,10,2,3,48,6.1,0.276,11.2,43,0.432,Low,2026-09-21,completed,195
MT-00223,AST-0232,Signal,S&T,COR-005,6.6,9,2,3,100,6.2,0.789,38.5,70,0.698,High,2026-09-10,pending,195
MT-00224,AST-0689,Track,Engineering,COR-002,6.9,7,1,3,26,5.6,0.413,8.6,55,0.551,Medium,2026-09-21,completed,195
MT-00225,AST-0449,Bridge,Engineering,COR-008,5.8,10,4,21,69,8.7,0.508,20.7,77,0.774,Critical,2026-09-11,pending,195
MT-00226,AST-0045,Bridge,Engineering,COR-005,6.4,10,2,1,100,8.0,0.133,2.3,63,0.63,Medium,2026-09-14,completed,75
MT-00227,AST-0522,OHE,Traction Distribution,COR-004,5.1,6,0,1,48,6.1,0.216,3.7,50,0.5,Low,2026-09-18,completed,225
MT-00228,AST-0441,OHE,Traction Distribution,COR-009,9.5,7,1,5,26,6.0,0.585,34.0,62,0.62,Medium,2026-09-22,completed,225
MT-00229,AST-0177,OHE,Traction Distribution,COR-007,6.4,7,0,29,45,6.7,0.205,9.0,67,0.67,High,2026-09-11,pending,180
MT-00230,AST-0640,Track,Engineering,COR-004,7.1,8,4,0,48,5.9,0.201,15.7,54,0.538,Medium,2026-09-13,completed,165
MT-00231,AST-0428,Signal,S&T,COR-003,4.3,8,0,2,32,4.4,0.183,16.2,27,0.269,Low,2026-09-25,completed,120
MT-00232,AST-0518,OHE,Traction Distribution,COR-010,5.9,6,2,11,20,5.6,0.434,9.0,52,0.516,Low,2026-09-14,pending,195
MT-00233,AST-0145,Track,Engineering,COR-010,3.5,6,0,3,20,4.6,0.0,2.3,28,0.276,Low,2026-10-10,pending,150
MT-00234,AST-0012,Signal,S&T,COR-004,3.1,10,4,4,48,6.3,0.243,22.6,47,0.466,Low,2026-09-16,pending,120
MT-00235,AST-0161,Track,Engineering,COR-002,7.0,7,0,1,26,7.0,0.01,1.9,53,0.528,Low,2026-09-18,pending,225
MT-00236,AST-0549,Signal,S&T,COR-003,6.2,8,2,0,32,7.4,0.276,0.8,47,0.474,Low,2026-09-13,pending,30
MT-00237,AST-0070,Track,Engineering,COR-004,4.4,8,0,12,48,7.2,0.211,4.8,67,0.665,High,2026-09-06,overdue,30
MT-00238,AST-0364,Signal,S&T,COR-003,6.1,8,0,4,32,5.2,0.058,7.1,40,0.4,Low,2026-09-20,overdue,150
MT-00239,AST-0606,Signal,S&T,COR-009,4.2,9,2,1,26,7.7,0.297,8.7,42,0.424,Low,2026-09-15,pending,180
MT-00240,AST-0050,Track,Engineering,COR-002,1.4,7,1,2,26,5.9,0.107,11.0,37,0.374,Low,2026-09-24,overdue,225
MT-00241,AST-0367,Signal,S&T,COR-008,6.5,9,1,8,69,6.7,0.17,16.9,61,0.608,Medium,2026-09-14,completed,150
MT-00242,AST-0491,Station Equipment,S&T,COR-006,4.5,4,4,8,73,2.1,0.534,14.0,47,0.472,Low,2026-09-15,in_progress,75
MT-00243,AST-0437,Signal,S&T,COR-004,5.6,10,2,9,48,5.9,0.45,15.5,62,0.619,Medium,2026-09-16,overdue,210
MT-00244,AST-0736,Signal,S&T,COR-004,6.3,9,1,6,48,6.6,0.403,6.1,59,0.593,Medium,2026-09-21,completed,150
MT-00245,AST-0648,Track,Engineering,COR-010,5.6,7,1,3,20,7.8,0.292,4.9,47,0.467,Low,2026-09-14,in_progress,60
MT-00246,AST-0093,OHE,Traction Distribution,COR-006,6.1,8,0,0,73,6.5,0.083,9.1,52,0.519,Low,2026-09-18,pending,120
MT-00247,AST-0496,Track,Engineering,COR-005,7.3,9,2,1,100,6.8,0.401,7.0,68,0.68,High,2026-09-07,pending,105
MT-00248,AST-0691,Signal,S&T,COR-010,6.9,8,2,19,20,6.1,0.458,4.3,71,0.71,High,2026-09-08,overdue,135
MT-00249,AST-0689,Track,Engineering,COR-002,4.6,7,1,10,26,4.0,0.323,8.6,46,0.463,Low,2026-09-15,pending,180
MT-00250,AST-0560,Track,Engineering,COR-004,4.6,7,0,0,48,6.2,0.121,4.4,40,0.402,Low,2026-09-15,pending,150
MT-00251,AST-0639,Track,Engineering,COR-004,4.4,8,1,10,48,5.7,0.622,24.9,56,0.557,Medium,2026-09-18,pending,225
MT-00252,AST-0462,Station Equipment,S&T,COR-004,7.3,5,0,2,48,7.5,0.244,14.4,57,0.572,Medium,2026-09-18,in_progress,90
MT-00253,AST-0212,Track,Engineering,COR-008,3.7,8,1,1,69,6.1,0.427,6.8,53,0.532,Low,2026-09-13,pending,30
MT-00254,AST-0106,OHE,Traction Distribution,COR-010,3.8,6,0,1,20,5.3,0.025,6.3,24,0.235,Low,2026-09-26,overdue,60
MT-00255,AST-0078,OHE,Traction Distribution,COR-009,4.2,8,0,17,26,5.4,0.37,25.3,45,0.452,Low,2026-09-14,pending,165
MT-00256,AST-0537,Signal,S&T,COR-005,6.0,10,4,11,100,6.3,0.717,16.3,72,0.717,High,2026-09-11,completed,195
MT-00257,AST-0068,Station Equipment,S&T,COR-001,4.9,5,2,0,45,3.6,0.108,8.8,35,0.353,Low,2026-09-30,in_progress,135
MT-00258,AST-0562,OHE,Traction Distribution,COR-004,4.8,7,2,8,48,4.1,0.416,4.5,50,0.505,Low,2026-09-18,in_progress,240
MT-00259,AST-0491,Station Equipment,S&T,COR-006,8.4,4,4,0,73,6.3,0.543,14.0,56,0.559,Medium,2026-09-16,pending,180
MT-00260,AST-0417,Bridge,Engineering,COR-010,5.5,9,1,12,20,6.3,0.233,12.3,56,0.555,Medium,2026-09-15,pending,105
MT-00261,AST-0034,Track,Engineering,COR-008,5.3,10,0,7,69,8.1,0.421,15.1,73,0.733,High,2026-09-06,completed,135
MT-00262,AST-0332,Track,Engineering,COR-002,5.3,8,0,6,26,6.3,0.33,14.4,55,0.553,Medium,2026-09-16,completed,150
MT-00263,AST-0069,Track,Engineering,COR-008,10.0,7,3,0,69,7.2,0.814,24.8,67,0.673,High,2026-09-11,pending,75
MT-00264,AST-0231,Signal,S&T,COR-005,9.9,10,4,1,100,7.8,0.952,15.8,86,0.865,Critical,2026-09-05,overdue,30
MT-00265,AST-0608,Track,Engineering,COR-001,3.5,7,3,4,45,5.2,0.34,9.7,36,0.363,Low,2026-09-30,completed,225
MT-00266,AST-0638,OHE,Traction Distribution,COR-002,4.2,7,0,2,26,5.0,0.266,19.7,40,0.398,Low,2026-09-17,pending,30
MT-00267,AST-0764,Signal,S&T,COR-006,5.9,9,1,4,73,7.8,0.192,12.1,61,0.608,Medium,2026-09-15,completed,165
MT-00268,AST-0574,OHE,Traction Distribution,COR-003,5.8,6,1,3,32,4.6,0.313,3.4,47,0.465,Low,2026-09-22,completed,75
MT-00269,AST-0079,Station Equipment,S&T,COR-005,5.5,6,2,17,100,5.8,0.538,12.6,58,0.583,Medium,2026-09-18,completed,195
MT-00270,AST-0428,Signal,S&T,COR-003,6.1,8,0,1,32,8.1,0.211,16.2,49,0.492,Low,2026-09-22,pending,225
MT-00271,AST-0589,OHE,Traction Distribution,COR-004,4.5,7,3,3,48,5.6,0.419,12.1,50,0.498,Low,2026-09-21,pending,120
MT-00272,AST-0401,OHE,Traction Distribution,COR-009,7.4,7,1,2,26,7.2,0.229,8.3,53,0.527,Low,2026-09-15,pending,45
MT-00273,AST-0370,OHE,Traction Distribution,COR-002,7.4,7,0,17,26,7.0,0.558,16.1,71,0.707,High,2026-09-08,pending,60
MT-00274,AST-0635,Station Equipment,S&T,COR-002,3.9,5,1,6,26,6.0,0.335,24.4,46,0.457,Low,2026-09-18,pending,30
MT-00275,AST-0411,OHE,Traction Distribution,COR-007,4.3,7,1,1,45,5.6,0.209,10.1,42,0.42,Low,2026-09-14,completed,90
MT-00276,AST-0381,Signal,S&T,COR-007,4.8,9,0,3,45,7.1,0.388,12.5,57,0.574,Medium,2026-09-21,in_progress,30
MT-00277,AST-0521,Track,Engineering,COR-001,6.5,8,2,2,45,6.6,0.387,10.0,53,0.529,Low,2026-09-18,pending,135
MT-00278,AST-0693,Bridge,Engineering,COR-005,7.4,10,3,6,100,7.2,0.782,19.2,78,0.78,Critical,2026-09-07,in_progress,30
MT-00279,AST-0607,Signal,S&T,COR-009,4.7,8,2,5,26,4.7,0.413,32.1,52,0.516,Low,2026-09-17,pending,180
MT-00280,AST-0720,Signal,S&T,COR-005,4.9,10,0,11,100,8.2,0.635,17.0,75,0.753,Critical,2026-09-10,pending,30
MT-00281,AST-0407,Track,Engineering,COR-006,6.3,9,3,4,73,6.0,0.288,10.7,61,0.611,Medium,2026-09-16,completed,45
MT-00282,AST-0185,OHE,Traction Distribution,COR-004,6.0,6,1,15,48,6.1,0.285,22.1,62,0.621,Medium,2026-09-19,completed,45
MT-00283,AST-0182,Bridge,Engineering,COR-007,6.6,8,0,7,45,7.1,0.5,17.0,65,0.647,High,2026-09-11,pending,195
MT-00284,AST-0547,Signal,S&T,COR-002,4.6,9,0,1,26,7.3,0.03,5.0,51,0.51,Low,2026-09-15,completed,105
MT-00285,AST-0781,Signal,S&T,COR-006,4.5,9,0,6,73,5.8,0.344,6.0,69,0.692,High,2026-09-11,completed,120
MT-00286,AST-0261,Signal,S&T,COR-003,6.5,9,4,6,32,6.3,0.468,19.0,62,0.621,Medium,2026-09-16,completed,90
MT-00287,AST-0045,Bridge,Engineering,COR-005,9.1,10,2,1,100,9.0,0.232,2.3,70,0.7,High,2026-09-09,overdue,30
MT-00288,AST-0312,Track,Engineering,COR-005,6.6,8,0,0,100,6.3,0.166,3.7,59,0.592,Medium,2026-09-20,pending,30
MT-00289,AST-0277,Signal,S&T,COR-010,4.2,9,0,1,20,4.9,0.116,12.1,43,0.427,Low,2026-09-12,pending,60
MT-00290,AST-0434,Track,Engineering,COR-004,3.6,9,1,2,48,7.9,0.066,8.2,51,0.513,Low,2026-09-19,completed,225
MT-00291,AST-0275,Track,Engineering,COR-008,1.0,8,1,0,69,3.6,0.108,3.9,42,0.424,Low,2026-09-18,in_progress,45
MT-00292,AST-0185,OHE,Traction Distribution,COR-004,7.3,6,1,0,48,4.9,0.303,22.1,38,0.378,Low,2026-10-08,pending,90
MT-00293,AST-0662,Station Equipment,S&T,COR-005,7.7,5,1,6,100,5.3,0.541,10.3,70,0.696,High,2026-09-11,pending,195
MT-00294,AST-0122,OHE,Traction Distribution,COR-004,4.9,7,3,1,48,6.7,0.364,26.4,57,0.569,Medium,2026-09-17,pending,165
MT-00295,AST-0407,Track,Engineering,COR-006,3.1,9,3,18,73,3.6,0.305,10.7,61,0.606,Medium,2026-09-22,pending,105
MT-00296,AST-0019,Signal,S&T,COR-004,3.1,9,0,4,48,6.9,0.127,6.6,51,0.512,Low,2026-09-18,pending,120
MT-00297,AST-0248,OHE,Traction Distribution,COR-009,4.7,6,0,1,26,4.0,0.047,2.3,33,0.328,Low,2026-09-28,overdue,75
MT-00298,AST-0006,Track,Engineering,COR-001,6.7,8,2,34,45,6.9,0.543,18.0,70,0.703,High,2026-09-09,pending,120
MT-00299,AST-0646,Track,Engineering,COR-004,7.4,8,0,6,48,6.3,0.409,24.9,64,0.636,Medium,2026-09-14,completed,180
MT-00300,AST-0480,Station Equipment,S&T,COR-008,5.6,6,0,13,69,7.2,0.375,15.6,64,0.644,Medium,2026-09-21,pending,135
MT-00301,AST-0158,Track,Engineering,COR-004,8.1,8,0,6,48,7.4,0.545,8.5,69,0.686,High,2026-09-06,pending,180
MT-00302,AST-0401,OHE,Traction Distribution,COR-009,5.9,7,1,3,26,5.2,0.319,8.3,49,0.491,Low,2026-09-17,overdue,30
MT-00303,AST-0247,Bridge,Engineering,COR-004,7.4,10,1,21,48,7.7,0.442,22.3,79,0.793,Critical,2026-09-10,pending,240
MT-00304,AST-0069,Track,Engineering,COR-008,4.8,7,3,14,69,5.5,0.819,24.8,68,0.685,High,2026-09-06,pending,105
MT-00305,AST-0239,Track,Engineering,COR-007,3.4,8,4,5,45,5.5,0.261,8.1,42,0.417,Low,2026-09-17,completed,135
MT-00306,AST-0103,Station Equipment,S&T,COR-010,4.1,4,0,2,20,4.1,0.168,4.0,35,0.347,Low,2026-10-05,pending,90
MT-00307,AST-0718,Track,Engineering,COR-007,8.6,8,3,7,45,7.4,0.638,21.7,77,0.77,Critical,2026-09-08,pending,75
MT-00308,AST-0451,OHE,Traction Distribution,COR-009,7.1,6,0,4,26,4.5,0.018,15.6,43,0.427,Low,2026-09-19,overdue,45
MT-00309,AST-0089,Signal,S&T,COR-010,4.6,8,1,5,20,5.5,0.27,10.6,54,0.536,Medium,2026-09-15,pending,105
MT-00310,AST-0092,OHE,Traction Distribution,COR-004,6.4,7,7,6,48,6.7,0.663,21.3,55,0.55,Medium,2026-09-16,completed,105
MT-00311,AST-0440,Bridge,Engineering,COR-007,2.2,10,2,2,45,5.2,0.202,9.4,44,0.439,Low,2026-09-15,pending,180
MT-00312,AST-0017,Track,Engineering,COR-003,6.9,8,4,1,32,7.4,0.227,13.4,48,0.481,Low,2026-09-18,pending,240
MT-00313,AST-0495,Track,Engineering,COR-001,3.5,8,1,1,45,5.4,0.0,6.9,47,0.466,Low,2026-09-21,in_progress,30
MT-00314,AST-0381,Signal,S&T,COR-007,10.0,9,0,2,45,8.3,0.319,12.5,74,0.737,High,2026-09-07,completed,150
MT-00315,AST-0646,Track,Engineering,COR-004,5.1,8,0,0,48,7.2,0.449,24.9,50,0.504,Low,2026-09-16,pending,195
MT-00316,AST-0105,Signal,S&T,COR-004,8.0,9,2,4,48,6.0,0.161,3.7,64,0.639,Medium,2026-09-14,completed,180
MT-00317,AST-0606,Signal,S&T,COR-009,6.5,9,2,7,26,6.4,0.25,8.7,64,0.644,Medium,2026-09-14,completed,105
MT-00318,AST-0074,Signal,S&T,COR-005,3.2,10,3,11,100,7.5,0.214,2.2,65,0.654,High,2026-09-11,in_progress,210
MT-00319,AST-0429,Track,Engineering,COR-005,5.4,9,0,21,100,8.5,0.2,6.8,75,0.747,Critical,2026-09-10,in_progress,60
MT-00320,AST-0696,OHE,Traction Distribution,COR-003,5.2,6,0,5,32,7.4,0.001,4.0,49,0.486,Low,2026-09-22,completed,75
MT-00321,AST-0296,Track,Engineering,COR-008,6.0,8,2,5,69,6.5,0.44,14.9,55,0.555,Medium,2026-09-18,completed,195
MT-00322,AST-0207,Track,Engineering,COR-004,6.8,8,2,2,48,7.2,0.366,12.3,56,0.563,Medium,2026-09-19,pending,180
MT-00323,AST-0191,Signal,S&T,COR-009,6.7,9,1,6,26,8.0,0.208,19.6,68,0.685,High,2026-09-10,completed,75
MT-00324,AST-0387,Track,Engineering,COR-001,6.3,8,2,11,45,7.8,0.29,10.7,60,0.596,Medium,2026-09-19,in_progress,60
MT-00325,AST-0550,Station Equipment,S&T,COR-005,5.9,6,2,4,100,5.7,0.371,4.9,61,0.61,Medium,2026-09-21,overdue,165
MT-00326,AST-0343,OHE,Traction Distribution,COR-003,3.6,6,4,2,32,5.4,0.327,5.5,42,0.417,Low,2026-09-15,overdue,60
MT-00327,AST-0242,OHE,Traction Distribution,COR-008,6.0,7,0,13,69,6.4,0.431,12.7,63,0.626,Medium,2026-09-13,pending,240
MT-00328,AST-0266,Track,Engineering,COR-003,5.9,8,0,0,32,6.9,0.319,8.7,49,0.494,Low,2026-09-17,pending,60
MT-00329,AST-0676,OHE,Traction Distribution,COR-005,2.3,8,2,9,100,4.0,0.245,5.9,62,0.618,Medium,2026-09-12,in_progress,75
MT-00330,AST-0528,Signal,S&T,COR-001,6.2,9,5,1,45,6.7,0.462,21.2,58,0.58,Medium,2026-09-12,in_progress,120
MT-00331,AST-0673,Track,Engineering,COR-006,5.4,8,1,1,73,5.6,0.301,6.5,55,0.553,Medium,2026-09-12,completed,75
MT-00332,AST-0199,Signal,S&T,COR-008,3.1,8,1,5,69,4.1,0.333,9.1,56,0.562,Medium,2026-09-12,pending,150
MT-00333,AST-0469,Signal,S&T,COR-001,5.0,8,0,13,45,4.3,0.314,14.4,54,0.537,Medium,2026-09-19,completed,30
MT-00334,AST-0213,OHE,Traction Distribution,COR-008,5.1,8,3,4,69,5.6,0.316,3.1,49,0.486,Low,2026-09-18,overdue,135
MT-00335,AST-0546,Track,Engineering,COR-005,9.6,8,5,7,100,7.6,0.493,12.5,85,0.85,Critical,2026-09-05,overdue,120
MT-00336,AST-0534,Bridge,Engineering,COR-010,6.0,10,3,18,20,7.5,0.366,10.6,66,0.664,High,2026-09-07,pending,45
MT-00337,AST-0268,OHE,Traction Distribution,COR-010,7.3,7,0,1,20,7.0,0.295,13.7,53,0.531,Low,2026-09-15,overdue,135
MT-00338,AST-0304,Track,Engineering,COR-009,5.1,8,1,5,26,6.2,0.259,3.8,45,0.452,Low,2026-09-17,pending,30
MT-00339,AST-0140,Track,Engineering,COR-007,2.5,8,2,9,45,4.7,0.301,3.4,49,0.495,Low,2026-09-20,in_progress,180
MT-00340,AST-0037,OHE,Traction Distribution,COR-003,6.3,7,0,8,32,5.1,0.258,6.9,46,0.459,Low,2026-09-22,pending,195
MT-00341,AST-0457,Track,Engineering,COR-002,3.9,7,0,5,26,5.9,0.213,11.0,44,0.437,Low,2026-09-20,completed,150
MT-00342,AST-0750,Station Equipment,S&T,COR-004,4.4,5,1,1,48,4.2,0.207,3.0,33,0.334,Low,2026-10-05,pending,150
MT-00343,AST-0684,OHE,Traction Distribution,COR-001,3.8,6,1,3,45,4.1,0.296,14.6,36,0.355,Low,2026-10-16,pending,45
MT-00344,AST-0766,Track,Engineering,COR-010,5.2,8,2,0,20,5.9,0.3,20.9,42,0.418,Low,2026-09-13,pending,120
MT-00345,AST-0712,OHE,Traction Distribution,COR-008,6.7,7,4,7,69,5.4,0.221,7.2,45,0.452,Low,2026-09-17,overdue,240
MT-00346,AST-0776,Track,Engineering,COR-009,6.2,9,2,1,26,6.4,0.28,15.8,44,0.441,Low,2026-09-14,in_progress,225
MT-00347,AST-0406,OHE,Traction Distribution,COR-006,8.5,8,0,0,73,6.8,0.4,14.4,65,0.645,High,2026-09-06,completed,165
MT-00348,AST-0127,Signal,S&T,COR-010,7.9,8,2,2,20,6.9,0.282,13.5,54,0.545,Medium,2026-09-16,completed,60
MT-00349,AST-0276,Signal,S&T,COR-008,2.3,9,0,4,69,6.1,0.275,16.1,45,0.446,Low,2026-09-20,pending,120
MT-00350,AST-0302,OHE,Traction Distribution,COR-002,4.3,7,5,2,26,5.6,0.516,20.6,47,0.471,Low,2026-09-15,pending,195
MT-00351,AST-0435,Signal,S&T,COR-007,2.5,8,1,6,45,6.5,0.251,13.0,43,0.429,Low,2026-09-21,pending,165
MT-00352,AST-0228,OHE,Traction Distribution,COR-005,8.1,8,1,3,100,8.5,0.642,18.5,76,0.759,Critical,2026-09-09,in_progress,150
MT-00353,AST-0546,Track,Engineering,COR-005,5.4,8,5,5,100,8.1,0.487,12.5,65,0.653,High,2026-09-10,overdue,75
MT-00354,AST-0777,Signal,S&T,COR-004,6.9,8,1,14,48,7.3,0.768,40.0,69,0.689,High,2026-09-07,pending,195
MT-00355,AST-0720,Signal,S&T,COR-005,6.8,10,0,4,100,8.3,0.609,17.0,73,0.733,High,2026-09-11,completed,30
MT-00356,AST-0787,Track,Engineering,COR-007,6.7,7,1,5,45,5.7,0.37,21.4,67,0.665,High,2026-09-07,completed,45
MT-00357,AST-0444,OHE,Traction Distribution,COR-010,2.5,6,0,2,20,4.8,0.164,11.6,28,0.283,Low,2026-10-01,overdue,30
MT-00358,AST-0594,Signal,S&T,COR-009,2.9,9,1,3,26,5.0,0.267,6.7,44,0.435,Low,2026-09-20,pending,225
MT-00359,AST-0104,Track,Engineering,COR-001,5.5,9,3,1,45,5.2,0.329,3.8,54,0.536,Medium,2026-09-19,overdue,195
MT-00360,AST-0585,OHE,Traction Distribution,COR-003,7.2,7,0,1,32,7.9,0.192,12.0,46,0.455,Low,2026-09-15,completed,90
MT-00361,AST-0153,Signal,S&T,COR-010,5.8,9,0,23,20,5.6,0.428,21.3,54,0.543,Medium,2026-09-14,in_progress,90
MT-00362,AST-0269,Track,Engineering,COR-010,4.0,8,1,6,20,6.0,0.21,10.9,43,0.428,Low,2026-09-16,completed,180
MT-00363,AST-0690,Station Equipment,S&T,COR-009,1.6,4,2,6,26,1.8,0.253,1.6,31,0.31,Low,2026-10-03,pending,120
MT-00364,AST-0227,Track,Engineering,COR-007,7.7,8,1,3,45,8.2,0.467,12.8,59,0.594,Medium,2026-09-12,completed,150
MT-00365,AST-0196,Track,Engineering,COR-003,4.2,7,0,2,32,6.4,0.31,6.7,43,0.426,Low,2026-09-14,completed,150
MT-00366,AST-0125,Signal,S&T,COR-002,3.4,9,1,7,26,6.4,0.348,8.6,55,0.551,Medium,2026-09-13,completed,60
MT-00367,AST-0609,Track,Engineering,COR-005,4.6,10,6,14,100,8.1,0.622,20.7,72,0.722,High,2026-09-06,completed,60
MT-00368,AST-0731,Station Equipment,S&T,COR-004,4.5,4,2,1,48,3.8,0.584,15.2,38,0.383,Low,2026-10-01,completed,60
MT-00369,AST-0338,Signal,S&T,COR-007,4.5,9,1,1,45,8.5,0.468,12.0,47,0.469,Low,2026-09-12,pending,75
MT-00370,AST-0716,Signal,S&T,COR-006,5.8,10,2,2,73,8.1,0.411,15.9,65,0.646,High,2026-09-10,pending,135
MT-00371,AST-0130,Signal,S&T,COR-006,4.3,9,0,8,73,5.3,0.418,6.2,60,0.601,Medium,2026-09-19,completed,105
MT-00372,AST-0497,Track,Engineering,COR-004,6.9,8,4,22,48,6.8,0.513,13.3,73,0.733,High,2026-09-07,completed,135
MT-00373,AST-0724,Signal,S&T,COR-004,5.1,10,0,9,48,6.9,0.318,13.0,56,0.557,Medium,2026-09-21,completed,30
MT-00374,AST-0556,Track,Engineering,COR-001,10.0,7,2,12,45,7.2,0.597,26.9,71,0.706,High,2026-09-09,pending,135
MT-00375,AST-0179,Track,Engineering,COR-006,4.0,8,5,1,73,3.9,0.567,14.8,43,0.427,Low,2026-09-15,in_progress,75
MT-00376,AST-0195,OHE,Traction Distribution,COR-005,6.2,9,1,2,100,7.4,0.321,6.2,62,0.622,Medium,2026-09-14,completed,180
MT-00377,AST-0112,Station Equipment,S&T,COR-006,5.7,5,1,15,73,3.4,0.351,1.4,62,0.62,Medium,2026-09-16,completed,30
MT-00378,AST-0137,Signal,S&T,COR-007,3.5,10,0,0,45,3.9,0.257,2.4,42,0.417,Low,2026-09-22,pending,135
MT-00379,AST-0763,Signal,S&T,COR-003,4.2,9,0,5,32,5.8,0.096,9.5,40,0.405,Low,2026-09-12,pending,75
MT-00380,AST-0575,Signal,S&T,COR-005,8.0,10,3,2,100,7.4,0.588,9.1,69,0.692,High,2026-09-06,completed,105
MT-00381,AST-0085,OHE,Traction Distribution,COR-010,4.7,6,0,3,20,4.0,0.104,11.0,28,0.279,Low,2026-10-02,completed,135
MT-00382,AST-0314,Track,Engineering,COR-009,7.9,7,1,0,26,3.6,0.3,16.8,38,0.379,Low,2026-10-15,pending,75
MT-00383,AST-0384,Track,Engineering,COR-003,1.7,8,1,10,32,3.8,0.242,14.8,46,0.459,Low,2026-09-15,in_progress,225
MT-00384,AST-0459,Signal,S&T,COR-009,3.4,9,0,2,26,5.7,0.146,4.0,35,0.349,Low,2026-10-10,pending,60
