simId,corridorId,corridorTrafficLevel,blockStartHour,blockDurationHours,isPeakHour,affectedTrains,expectedDelayMinutes,criticalTrainsAffected,alternativeRoutesAvailable
SIM-0462,COR-009,26,0,5,0,3,18.4,0,0
SIM-0463,COR-006,73,15,1,0,4,7.5,1,1
SIM-0464,COR-001,45,20,1,0,1,4.3,0,2
SIM-0465,COR-010,20,0,5,0,2,3.2,0,1
SIM-0466,COR-006,73,12,3,0,4,16.6,1,0
SIM-0467,COR-010,20,17,1,1,2,9.5,1,1
SIM-0468,COR-001,45,0,5,0,4,14.0,1,1
SIM-0469,COR-002,26,10,7,0,4,20.9,1,3
SIM-0470,COR-010,20,2,4,0,0,3.5,0,3
SIM-0471,COR-003,32,20,3,0,1,6.0,0,0
SIM-0472,COR-006,73,11,6,0,8,29.2,1,1
SIM-0473,COR-007,45,11,3,0,4,11.2,1,0
SIM-0474,COR-010,20,21,5,0,3,22.8,0,3
SIM-0475,COR-004,48,17,4,1,3,19.3,1,1
SIM-0476,COR-008,69,6,6,0,6,30.0,1,3
SIM-0477,COR-008,69,13,4,0,6,30.9,1,0
SIM-0478,COR-008,69,6,4,0,4,8.6,1,2
SIM-0479,COR-006,73,11,3,0,5,19.1,1,0
SIM-0480,COR-001,45,17,3,1,2,5.5,1,2
SIM-0481,COR-003,32,20,4,0,2,5.7,0,0
SIM-0482,COR-006,73,20,1,0,1,10.1,0,0
SIM-0483,COR-005,100,10,3,0,6,32.4,1,0
SIM-0484,COR-002,26,19,1,1,0,0.0,0,2
SIM-0485,COR-007,45,19,3,1,1,13.4,0,2
SIM-0486,COR-005,100,12,3,0,6,39.6,1,2
SIM-0487,COR-008,69,0,1,0,2,8.0,0,0
SIM-0488,COR-006,73,2,3,0,5,16.6,1,1
SIM-0489,COR-004,48,14,5,0,4,20.7,1,1
SIM-0490,COR-002,26,18,7,1,6,44.4,2,3
SIM-0491,COR-002,26,20,5,0,3,7.9,0,2
SIM-0492,COR-006,73,5,5,0,8,29.6,1,0
SIM-0493,COR-004,48,19,5,1,6,33.5,2,0
SIM-0494,COR-008,69,18,7,1,11,66.8,3,1
SIM-0495,COR-007,45,10,7,0,6,29.5,1,0
SIM-0496,COR-003,32,8,1,1,1,5.7,0,1
SIM-0497,COR-008,69,10,4,0,6,32.9,1,3
SIM-0498,COR-006,73,14,7,0,7,28.8,1,0
SIM-0499,COR-009,26,17,7,1,5,34.6,2,2
SIM-0500,COR-010,20,3,4,0,2,9.9,0,1
